# x/m, y/m, cos, sin, vel/(m/s)
-21.4975, 9.22008, -0.951689, 0.307064, 4.91483
-21.5456, 9.23142, -0.952069, 0.305883, 4.93421
-21.5988, 9.24388, -0.952488, 0.304576, 4.95544
-21.6473, 9.25518, -0.952869, 0.303382, 4.97466
-21.6911, 9.26533, -0.953212, 0.302302, 4.99189
-21.74, 9.2766, -0.953594, 0.301096, 5.01097
-21.7891, 9.28783, -0.953976, 0.299884, 5.02997
-21.8335, 9.29793, -0.954319, 0.298789, 5.04701
-21.9078, 9.31469, -0.954892, 0.296952, 5.07532
-21.9376, 9.32139, -0.955122, 0.296214, 5.08658
-21.9675, 9.32809, -0.955351, 0.295473, 5.09781
-22.0225, 9.34032, -0.955772, 0.294109, 5.11836
-22.0677, 9.35031, -0.956116, 0.292989, 5.13511
-22.1434, 9.36687, -0.956689, 0.29111, 5.16293
-22.1688, 9.3724, -0.956881, 0.290481, 5.17215
-22.2196, 9.3834, -0.957263, 0.289219, 5.19057
-22.2654, 9.39329, -0.957607, 0.288077, 5.20708
-22.3115, 9.40315, -0.957951, 0.286932, 5.22354
-22.3628, 9.41407, -0.958333, 0.285653, 5.24177
-22.4092, 9.42387, -0.958677, 0.284497, 5.25813
-22.4609, 9.43472, -0.959059, 0.283207, 5.27624
-22.5129, 9.44554, -0.95944, 0.281912, 5.29429
-22.565, 9.45633, -0.959821, 0.280611, 5.31228
-22.612, 9.466, -0.960164, 0.279436, 5.32841
-22.6592, 9.47565, -0.960507, 0.278255, 5.3445
-22.7066, 9.48527, -0.96085, 0.277071, 5.36054
-22.7594, 9.49591, -0.96123, 0.275749, 5.3783
-22.8071, 9.50546, -0.961571, 0.274555, 5.39424
-22.8496, 9.51392, -0.961875, 0.273489, 5.40836
-22.9083, 9.5255, -0.962292, 0.272019, 5.42773
-22.994, 9.54222, -0.962897, 0.269869, 5.45581
-22.9994, 9.54327, -0.962935, 0.269734, 5.45755
-23.0478, 9.55264, -0.963275, 0.268517, 5.47326
-23.1235, 9.56713, -0.963803, 0.266617, 5.49762
-23.1561, 9.57333, -0.964028, 0.265799, 5.50802
-23.2105, 9.58361, -0.964405, 0.264431, 5.52531
-23.2596, 9.59283, -0.964742, 0.263196, 5.54082
-23.3143, 9.60302, -0.965117, 0.261819, 5.55801
-23.3747, 9.61417, -0.965528, 0.260298, 5.57686
-23.4188, 9.62225, -0.965827, 0.259188, 5.59052
-23.4741, 9.6323, -0.966199, 0.257796, 5.60755
-23.524, 9.6413, -0.966534, 0.256538, 5.62284
-23.574, 9.65026, -0.966868, 0.255276, 5.63808
-23.641, 9.66213, -0.967312, 0.253587, 5.65835
-23.6858, 9.67001, -0.967608, 0.252457, 5.67182
-23.7475, 9.68078, -0.968013, 0.250899, 5.69029
-23.8039, 9.69052, -0.968381, 0.249476, 5.70703
-23.8547, 9.69924, -0.968711, 0.248192, 5.72205
-23.9285, 9.71173, -0.969186, 0.24633, 5.74368
-23.9683, 9.71843, -0.969441, 0.245324, 5.75529
-24.0139, 9.72606, -0.969732, 0.244171, 5.76853
-24.0654, 9.73459, -0.970059, 0.242871, 5.78339
-24.1227, 9.744, -0.97042, 0.241421, 5.79985
-24.1745, 9.75243, -0.970745, 0.240112, 5.81463
-24.2321, 9.76173, -0.971105, 0.238654, 5.83101
-24.2842, 9.77005, -0.971427, 0.237337, 5.84571
-24.3422, 9.77924, -0.971785, 0.23587, 5.862
-24.3946, 9.78745, -0.972105, 0.234545, 5.87663
-24.4529, 9.79652, -0.97246, 0.233068, 5.89283
-24.5056, 9.80463, -0.972779, 0.231735, 5.90738
-24.5584, 9.81268, -0.973096, 0.230399, 5.92189
-24.6172, 9.82156, -0.973448, 0.228909, 5.93797
-24.6703, 9.8295, -0.973763, 0.227565, 5.9524
-24.7295, 9.83826, -0.974112, 0.226066, 5.9684
-24.7829, 9.84608, -0.974425, 0.224714, 5.98277
-24.8483, 9.85556, -0.974806, 0.223056, 6.00028
